,aucs,params,Standard deviation,time
0,0.7742414140969893,"(1, 0)",0.4060390859567255,122.36560720507987
1,0.38521130975399887,"(1, 1)",0.20756883680971655,236.9124613169115
2,0.5821242272179523,"(2, 0)",0.3015547672640472,30.307311982964166
3,0.3942916415073715,"(2, 1)",0.195326215988434,61.46780902997125
4,0.5455875635396423,"(3, 0)",0.2660151423338836,13.920121513016056
5,0.40208472911463683,"(3, 1)",0.18788565481036862,27.84907829313306
6,0.5029833256118847,"(4, 0)",0.21310531113362188,7.828993671981152
7,0.41307041679814,"(4, 1)",0.19758205487959815,15.685213191085495
8,0.5004668538744965,"(5, 0)",0.21729318080426152,5.129050084971823
9,0.40452590012216805,"(5, 1)",0.1880106243506779,10.548943992995191
10,0.49491725179452734,"(6, 0)",0.2098582671648714,3.4030357260489836
11,0.42058159487110514,"(6, 1)",0.19176906340233998,7.269979826931376
12,0.47596867073044713,"(7, 0)",0.20084658727602347,2.467271700850688
13,0.40775133467855157,"(7, 1)",0.18052210719888753,5.345302101050038
14,0.4691997073170599,"(8, 0)",0.18368599619246417,2.030576098128222
15,0.4398758012903303,"(8, 1)",0.1875152738529671,4.58308260695776
16,0.4587999428752817,"(9, 0)",0.16768542009224532,1.6983513650484383
17,0.4505645297798222,"(9, 1)",0.19537572781195278,3.9207365729962476
18,0.4566234077607775,"(10, 0)",0.17115676073273522,1.3617439749650657
19,0.445808362777926,"(10, 1)",0.19632483780130558,3.2089354539639316
