,rand_layer,pearson,ssim,spearman,action
0,1,0.5954378240995337,0.5837738118723247,0.8555611840106203,6
1,2,0.12944541094989853,0.4240656751677691,0.6368591531527807,6
2,3,0.11350018504971568,0.24739370641554884,0.6313480119374225,6
3,4,0.04435853062952499,0.2524775798066385,0.4301694954411748,6
4,5,0.06756198855710666,0.3030803323963827,0.35659468683117634,6
5,1,0.624715139482396,0.5727501667143738,0.845363409465456,4
6,2,0.1667448743178625,0.39886984705378403,0.6190617516663173,4
7,3,0.19383316592515365,0.26307653225983585,0.6174581614776901,4
8,4,0.15275013595726628,0.2728679313619789,0.463603508056869,4
9,5,0.07328524358758427,0.32179203994871913,0.32600716401578594,4
10,1,0.6333076661296743,0.5350491220341124,0.8513622263094018,6
11,2,0.18614744822347337,0.3915737861858746,0.6917790024655714,6
12,3,0.14469911592448598,0.2367968668468685,0.6092960043991862,6
13,4,0.08159678654778746,0.2614606523115223,0.46104613194305955,6
14,5,0.025801629450009713,0.261766877881165,0.2968203388579351,6
15,1,0.585591813771968,0.4946098522247537,0.8552385897193304,6
16,2,0.13675313166806186,0.3574004675069057,0.7281134059420447,6
17,3,0.07612085091995444,0.2063245287207429,0.6264154215172697,6
18,4,0.06718174027227103,0.261014212461826,0.5093168093695021,6
19,5,0.0354808316657604,0.2987266554683804,0.3534315171482161,6
20,1,0.6324861094071104,0.5482641901513801,0.8611844883028134,1
21,2,0.13878114919943396,0.3888975379881651,0.6381303097706092,1
22,3,0.12531633945376253,0.21418092023025134,0.6284343498990634,1
23,4,0.0845259727467393,0.2350736488554204,0.4541615716119741,1
24,5,0.05472328145389709,0.30655626548319576,0.3604081053095119,1
25,1,0.6304892521831595,0.5550549120978495,0.8527568225900721,6
26,2,0.15122155153443434,0.3982588639829006,0.6356619286792774,6
27,3,0.1798131001149758,0.2815359088949094,0.612622941573598,6
28,4,0.1557920801055392,0.28263165125184125,0.44991118361615917,6
29,5,0.05453663641935194,0.30839509269340787,0.32880273203321747,6
30,1,0.5889626943048244,0.5490699723944268,0.8408779508248169,4
31,2,0.16510396136138678,0.4089719657406875,0.6844377291777963,4
32,3,0.15480352221555316,0.2797715932093348,0.6087142845284588,4
33,4,0.07495870144555276,0.2894661633434963,0.46012653245764795,4
