,aucs,params,Standard deviation,time
0,0.46947430959042935,"(40, 0.001, 0.0, 1000)",0.2693079406111095,11.52160907103098
1,0.49143373016275416,"(40, 0.001, 0.0, 1500)",0.273961864838859,17.057316430000355
2,0.4795638386492741,"(40, 0.001, 0.0, 2000)",0.3150736595666006,22.554337695008144
3,0.47328347716599295,"(40, 0.001, 0.0, 2500)",0.29281798324173675,27.838162577012554
4,0.47810236261832806,"(40, 0.001, 0.0, 3000)",0.28892150737797684,33.47560365800746
5,0.5071821052372393,"(40, 0.01, 0.0, 1000)",0.2930136983155297,11.515250710974215
6,0.5018568495359668,"(40, 0.01, 0.0, 1500)",0.2972139124759307,16.977189955010545
7,0.5074514745921986,"(40, 0.01, 0.0, 2000)",0.31291975777160846,22.58567415701691
8,0.5511664153941129,"(40, 0.01, 0.0, 2500)",0.4451878975736307,28.160962097055744
9,0.5049846004404388,"(40, 0.01, 0.0, 3000)",0.2970689351215146,33.647743575042114
10,0.5250960046089723,"(40, 0.1, 0.0, 1000)",0.2817102114188824,11.91145072891959
11,0.5137350235390897,"(40, 0.1, 0.0, 1500)",0.2667772813854011,17.695486204029294
12,0.5278683908617567,"(40, 0.1, 0.0, 2000)",0.3025949444961324,23.230983251938596
13,0.508382248295357,"(40, 0.1, 0.0, 2500)",0.25602469072888556,29.077275473973714
14,0.5169882259348513,"(40, 0.1, 0.0, 3000)",0.275458713067286,34.47306636191206
15,0.6008348188873872,"(40, 1.0, 0.0, 1000)",0.37570160863057767,13.154972481017467
16,0.5873336767109844,"(40, 1.0, 0.0, 1500)",0.3686424916831383,19.513728880963754
17,0.6074214971385383,"(40, 1.0, 0.0, 2000)",0.38993040432834886,25.845083141030045
18,0.5940358494380177,"(40, 1.0, 0.0, 2500)",0.36120523898250567,32.14788087201305
19,0.5992179549335906,"(40, 1.0, 0.0, 3000)",0.38255921787898506,38.527107090019854
20,0.5919520229992992,"(40, 10.0, 0.0, 1000)",0.3724016401627616,13.510012890037615
21,0.5747601434372156,"(40, 10.0, 0.0, 1500)",0.3587717072470831,19.69945334608201
22,0.6179623581202777,"(40, 10.0, 0.0, 2000)",0.3858032560708685,25.701284113980364
23,0.5982772692429672,"(40, 10.0, 0.0, 2500)",0.36930066824721797,31.892063797044102
24,0.5882390243759932,"(40, 10.0, 0.0, 3000)",0.3615418879170941,38.23301792400889
25,0.4720689849533473,"(40, 0.001, 0.25, 1000)",0.285184674896075,11.45824114891002
26,0.47624434084022294,"(40, 0.001, 0.25, 1500)",0.3042288011291854,17.03563152096467
27,0.5155967192032251,"(40, 0.001, 0.25, 2000)",0.35354813118116435,22.524483974906616
28,0.48988218358184527,"(40, 0.001, 0.25, 2500)",0.32216645183992204,28.166909975989256
29,0.5046997659588282,"(40, 0.001, 0.25, 3000)",0.3282827856437311,33.526469099044334
30,0.5215949928207343,"(40, 0.01, 0.25, 1000)",0.3650303288879281,11.51762361996225
31,0.5271548207601485,"(40, 0.01, 0.25, 1500)",0.3316148839576507,17.049425670003984
32,0.49037334722920045,"(40, 0.01, 0.25, 2000)",0.27777599914453555,22.758334351121448
33,0.5061538693992702,"(40, 0.01, 0.25, 2500)",0.3038253402467113,28.26220424688654
34,0.5027848474696733,"(40, 0.01, 0.25, 3000)",0.312460420503174,33.62047465899377
35,0.5113754452384709,"(40, 0.1, 0.25, 1000)",0.25650026064582415,11.974668671988184
36,0.5136011895224326,"(40, 0.1, 0.25, 1500)",0.27655159917527306,17.598016045987606
37,0.5383738609401061,"(40, 0.1, 0.25, 2000)",0.292432411906186,23.300554910005303
38,0.5264300361289095,"(40, 0.1, 0.25, 2500)",0.2925634344615755,29.25740005497937
39,0.5225203112161008,"(40, 0.1, 0.25, 3000)",0.2687914336143014,34.927201943908585
40,0.576527389967146,"(40, 1.0, 0.25, 1000)",0.34939636514973016,13.169171891990118
41,0.5996381225069427,"(40, 1.0, 0.25, 1500)",0.3905549200005243,19.67073624994373
42,0.5971260726110403,"(40, 1.0, 0.25, 2000)",0.363443372354318,25.933211408002535
43,0.6088739433027659,"(40, 1.0, 0.25, 2500)",0.3697603005711128,32.26911734693567
44,0.614771474920294,"(40, 1.0, 0.25, 3000)",0.3979555745936765,38.238167679985054
45,0.5802962280304422,"(40, 10.0, 0.25, 1000)",0.36233122751018193,13.332024240895407
46,0.5696939130552301,"(40, 10.0, 0.25, 1500)",0.3522805446103872,19.53201343305409
47,0.594258936599548,"(40, 10.0, 0.25, 2000)",0.3615725794734673,25.80999523596256
48,0.605926580683457,"(40, 10.0, 0.25, 2500)",0.39101049030695567,32.06476029503392
49,0.582585624603871,"(40, 10.0, 0.25, 3000)",0.3708361797614164,38.297242843022104
50,0.41635180175638203,"(40, 0.001, 0.5, 1000)",0.1994307364019275,11.088794716022676
51,0.4457649307371101,"(40, 0.001, 0.5, 1500)",0.2482573724114333,16.303200129972538
52,0.4472870443014876,"(40, 0.001, 0.5, 2000)",0.24399506643323868,21.812895427050535
53,0.413091912303506,"(40, 0.001, 0.5, 2500)",0.17673703811960098,27.47331332298927
54,0.4461721904695352,"(40, 0.001, 0.5, 3000)",0.273135508515572,32.70491953592864
55,0.4765983905983798,"(40, 0.01, 0.5, 1000)",0.300026902372198,11.184504698059754
56,0.4627397209709148,"(40, 0.01, 0.5, 1500)",0.2684951081415901,16.47940195200499
57,0.48840980201033996,"(40, 0.01, 0.5, 2000)",0.3014933774478176,22.08377116706106
58,0.45928493703689943,"(40, 0.01, 0.5, 2500)",0.2659044520574822,27.400900605949573
59,0.4798581106253339,"(40, 0.01, 0.5, 3000)",0.3132092489921064,32.787344006006606
60,0.5191769631167487,"(40, 0.1, 0.5, 1000)",0.30142026758651075,12.022472986922367
61,0.5141029515714141,"(40, 0.1, 0.5, 1500)",0.2747818654236913,17.77556292701047
62,0.5248918707579076,"(40, 0.1, 0.5, 2000)",0.3217439130495259,23.88780328287976
63,0.5342026183348071,"(40, 0.1, 0.5, 2500)",0.3145913972855539,29.15640409194748
64,0.5138213221610066,"(40, 0.1, 0.5, 3000)",0.3037326274133559,35.54091231097118
65,0.5928649069184233,"(40, 1.0, 0.5, 1000)",0.3676916885472448,13.505921207979554
66,0.5942382758489655,"(40, 1.0, 0.5, 1500)",0.3729283392112081,19.870211511006346
