,aucs,params,time
0,-0.25088242888673307,"(0.1, 4, 500, 0)",0.8027559160005241
1,-1.4545668543882053,"(0.1, 4, 500, 1)",0.8403676339516777
2,-0.2137696962364405,"(0.1, 4, 1000, 0)",1.6059047825002835
3,-1.3686347613236192,"(0.1, 4, 1000, 1)",1.6765086518506678
4,0.24340313917447753,"(0.1, 4, 1500, 0)",2.376429922599823
5,-1.032096829247482,"(0.1, 4, 1500, 1)",2.5169201543497595
6,0.7608014074745049,"(0.1, 4, 2000, 0)",3.1754021287497833
7,-0.8214896395091505,"(0.1, 4, 2000, 1)",3.3209138518999226
8,0.9335885122999534,"(0.1, 4, 2500, 0)",3.9837362149499085
9,-0.9426479799097787,"(0.1, 4, 2500, 1)",4.133623505549281
10,1.1860191858930587,"(0.1, 4, 3000, 0)",4.747404021452735
11,-1.2389456965406376,"(0.1, 4, 3000, 1)",4.938423055599538
12,-1.886377996817676,"(0.1, 5, 500, 0)",0.8010424817000967
13,-3.085655201320259,"(0.1, 5, 500, 1)",0.8353439174987443
14,-0.5954400485874665,"(0.1, 5, 1000, 0)",1.58289987774956
15,-2.231079028412786,"(0.1, 5, 1000, 1)",1.6287155318491842
16,0.8047658235830486,"(0.1, 5, 1500, 0)",2.3754222701982366
17,-1.1748586943929784,"(0.1, 5, 1500, 1)",2.4796443133003323
18,-0.09478220979575958,"(0.1, 5, 2000, 0)",3.149148815850276
19,-1.4397140560335373,"(0.1, 5, 2000, 1)",3.285294190099762
20,1.3268348927662723,"(0.1, 5, 2500, 0)",3.93028681830026
21,-0.6195389020257362,"(0.1, 5, 2500, 1)",4.128538168301361
22,-0.07609499445979961,"(0.1, 5, 3000, 0)",4.764442962548946
23,-0.3848950329729708,"(0.1, 5, 3000, 1)",4.980077916899722
24,-0.2357090997730082,"(0.1, 6, 500, 0)",0.795769444899588
25,-1.6318097882914568,"(0.1, 6, 500, 1)",0.8442650048992617
26,0.6909191201891391,"(0.1, 6, 1000, 0)",1.5830293508990505
27,-1.139274399397802,"(0.1, 6, 1000, 1)",1.657752249249802
28,0.46810338149193487,"(0.1, 6, 1500, 0)",2.3683201761005197
29,-1.2878535981374033,"(0.1, 6, 1500, 1)",2.5070265574500583
30,-0.5007132214366878,"(0.1, 6, 2000, 0)",3.172061273950248
31,-1.3700853804794735,"(0.1, 6, 2000, 1)",3.320987263199845
32,0.6253225833094287,"(0.1, 6, 2500, 0)",3.9315610572524293
33,-2.177201566087879,"(0.1, 6, 2500, 1)",4.056568267000398
34,0.033133837860906734,"(0.1, 6, 3000, 0)",4.6089569879002745
35,-2.625466942527586,"(0.1, 6, 3000, 1)",4.87275324849927
36,-0.40536882430700205,"(0.1, 7, 500, 0)",0.7776164993510065
37,-2.33957785985997,"(0.1, 7, 500, 1)",0.8172481657493107
38,-1.2643711296539388,"(0.1, 7, 1000, 0)",1.544508743400752
39,-1.3557021526391984,"(0.1, 7, 1000, 1)",1.6068102225005305
40,-0.07375246827386972,"(0.1, 7, 1500, 0)",2.3084782470480376
41,-2.545894575166706,"(0.1, 7, 1500, 1)",2.4138552781509817
42,0.07084270028400463,"(0.1, 7, 2000, 0)",3.0642395679501075
43,-1.6408149158560952,"(0.1, 7, 2000, 1)",3.2310420556990267
44,0.07214290019807346,"(0.1, 7, 2500, 0)",3.895477326150535
45,-1.3394498840305942,"(0.1, 7, 2500, 1)",4.126791686798697
46,-0.07013447022977148,"(0.1, 7, 3000, 0)",4.66817757370004
47,-2.5041074774963823,"(0.1, 7, 3000, 1)",4.8547410866000735
48,-1.5608157958099265,"(0.1, 8, 500, 0)",0.7816149557516155
49,-2.7383749244277156,"(0.1, 8, 500, 1)",0.8394753448001666
50,-1.2260425591562911,"(0.1, 8, 1000, 0)",1.558265181149318
51,-1.6789288690223736,"(0.1, 8, 1000, 1)",1.6634477829500607
52,-0.19457689136943435,"(0.1, 8, 1500, 0)",2.349788255900103
53,-3.308680628855959,"(0.1, 8, 1500, 1)",2.4755335362997584
54,0.22376687012980023,"(0.1, 8, 2000, 0)",3.122940961051472
55,-2.4870335526530942,"(0.1, 8, 2000, 1)",3.276625175449317
56,1.4421226523887873,"(0.1, 8, 2500, 0)",3.90655289535016
57,-0.7524390040986086,"(0.1, 8, 2500, 1)",4.0937161526517905
58,0.8245804219630347,"(0.1, 8, 3000, 0)",4.687607992449216
59,-2.050527972842028,"(0.1, 8, 3000, 1)",4.830440042698638
60,-0.44333204008565996,"(0.1, 9, 500, 0)",0.7768882854985804
61,-1.9483556288963404,"(0.1, 9, 500, 1)",0.8228181272003894
62,-0.5912103529243441,"(0.1, 9, 1000, 0)",1.550606450599298
63,-1.513202478306676,"(0.1, 9, 1000, 1)",1.665748753300295
64,0.3625981689724637,"(0.1, 9, 1500, 0)",2.3248162296999455
65,-1.032196836880808,"(0.1, 9, 1500, 1)",2.4377031322490894
66,0.1620378298166587,"(0.1, 9, 2000, 0)",3.1102321523017054
67,-2.7693297470540683,"(0.1, 9, 2000, 1)",3.2829863196505356
68,0.11436246214420875,"(0.1, 9, 2500, 0)",3.888399132599716
69,-1.8766158869727234,"(0.1, 9, 2500, 1)",4.067218850100426
70,0.7086104095915517,"(0.1, 9, 3000, 0)",4.7167707629498175
71,-2.3209073579258863,"(0.1, 9, 3000, 1)",4.960449721699661
72,-1.8423266433361427,"(0.1, 10, 500, 0)",0.7993059611992521
73,-2.4547574173704865,"(0.1, 10, 500, 1)",0.8309865169986553
74,-1.9899817037205054,"(0.1, 10, 1000, 0)",1.5952082153997251
75,-0.8413811980392447,"(0.1, 10, 1000, 1)",1.665873844601947
76,-0.8270975546484529,"(0.1, 10, 1500, 0)",2.3478476447497996
77,-3.1814208211493833,"(0.1, 10, 1500, 1)",2.5148474217503014
78,1.0086716149070014,"(0.1, 10, 2000, 0)",3.1788127279494343
79,-0.4956620362924781,"(0.1, 10, 2000, 1)",3.338563256898351
80,0.21870660256769658,"(0.1, 10, 2500, 0)",3.973108077650113
81,-1.7471334700323764,"(0.1, 10, 2500, 1)",4.194402973048545
82,-0.15323224556936288,"(0.1, 10, 3000, 0)",4.72803271680018
83,-1.7751122046405263,"(0.1, 10, 3000, 1)",4.923276353799339
84,-2.2467926420803943,"(0.1, 11, 500, 0)",0.8016826419512201
85,-2.6919305917756176,"(0.1, 11, 500, 1)",0.8335732997490595
