,aucs,params,Standard deviation,time
0,0.5422405092725252,"(0.1, 4, 500, 0)",0.4026278339878589,7.7785513030103175
1,0.4362891665499247,"(0.1, 4, 500, 1)",0.22252127161303087,8.000643167033559
2,0.44009578333878807,"(0.1, 4, 1000, 0)",0.28331897008153006,15.444850971005508
3,0.40718099398854113,"(0.1, 4, 1000, 1)",0.14946561908432893,15.958307935012272
4,0.5304185190083647,"(0.1, 4, 1500, 0)",0.46158235934589276,22.860223131996463
5,0.39643042788186683,"(0.1, 4, 1500, 1)",0.15328855822043022,23.992221021995647
6,0.5320566266305036,"(0.1, 4, 2000, 0)",0.3548040229096677,30.566598189994693
7,0.43709341282392106,"(0.1, 4, 2000, 1)",0.1602426631991079,31.93991041999834
8,0.5143082641329078,"(0.1, 4, 2500, 0)",0.3871511581177078,38.13091643199732
9,0.4532453600692425,"(0.1, 4, 2500, 1)",0.23497596132658757,39.643808696986525
10,0.5201640576216433,"(0.1, 4, 3000, 0)",0.3634493051168084,45.653047124054865
11,0.37780266700272996,"(0.1, 4, 3000, 1)",0.1408729001662565,47.83586045599077
12,0.3955452763527437,"(0.1, 5, 500, 0)",0.2699810372879429,7.746417353002471
13,0.35567309847308176,"(0.1, 5, 500, 1)",0.12677701787497286,8.02179646397417
14,0.4307585958837423,"(0.1, 5, 1000, 0)",0.2596084131625466,15.193319532991154
15,0.3675795357398814,"(0.1, 5, 1000, 1)",0.13224510258403308,15.802518559983582
16,0.5554541744245418,"(0.1, 5, 1500, 0)",0.44409481747631857,22.85939734596468
17,0.4086331446934901,"(0.1, 5, 1500, 1)",0.20287921873930836,23.635336645005737
18,0.5586891714419048,"(0.1, 5, 2000, 0)",0.4224054447315917,30.34738317600568
19,0.4659946410172037,"(0.1, 5, 2000, 1)",0.20710231401360044,31.617741787995328
20,0.5764711673028822,"(0.1, 5, 2500, 0)",0.4083077702881687,37.94754717500473
21,0.4295136766926343,"(0.1, 5, 2500, 1)",0.18979529716580132,39.44324889902782
22,0.4819771736952195,"(0.1, 5, 3000, 0)",0.3288504773335681,45.75001462797809
23,0.39706032721349677,"(0.1, 5, 3000, 1)",0.2154963306663205,47.821460046994616
24,0.49095888446582,"(0.1, 6, 500, 0)",0.2620280028467223,7.630792882991955
25,0.4231351647089399,"(0.1, 6, 500, 1)",0.2751499612194,7.960142827985692
26,0.5190246577349755,"(0.1, 6, 1000, 0)",0.3939993942296684,15.242401466981391
27,0.36296433817155915,"(0.1, 6, 1000, 1)",0.1372054438042337,15.937659072995302
28,0.552812770092815,"(0.1, 6, 1500, 0)",0.4969545704905103,22.58933260400954
29,0.43735144836499246,"(0.1, 6, 1500, 1)",0.22621272714517826,23.873421992000658
30,0.448762028851106,"(0.1, 6, 2000, 0)",0.2639833873058632,30.373756297005457
31,0.442424767911032,"(0.1, 6, 2000, 1)",0.2906454713464298,31.79633310099598
32,0.46203187665133233,"(0.1, 6, 2500, 0)",0.3243060000955704,37.78139163304877
33,0.4068535018781101,"(0.1, 6, 2500, 1)",0.21084137488651158,39.459753561008256
34,0.5312610369710257,"(0.1, 6, 3000, 0)",0.38717484878498537,45.233387176005635
35,0.38350104240914507,"(0.1, 6, 3000, 1)",0.16601510275940706,48.012166819986305
36,0.4435269408546129,"(0.1, 7, 500, 0)",0.25715813177122326,7.74045875002048
37,0.32396076986883043,"(0.1, 7, 500, 1)",0.10337493636110144,8.01989073898585
38,0.4877362018196685,"(0.1, 7, 1000, 0)",0.36979763521113546,15.162261220015353
39,0.4431330666209619,"(0.1, 7, 1000, 1)",0.2566421947601077,15.824251142010326
40,0.4756641277770446,"(0.1, 7, 1500, 0)",0.28870391786425553,22.58546384696092
41,0.42186090159688455,"(0.1, 7, 1500, 1)",0.23067571479796944,23.737876497019897
42,0.5152739825243519,"(0.1, 7, 2000, 0)",0.37111612782535097,30.025402204002603
43,0.40190698134979136,"(0.1, 7, 2000, 1)",0.16175029232310084,32.28740258998005
44,0.3886759846556791,"(0.1, 7, 2500, 0)",0.2313057671158239,38.97561489501095
45,0.4198536576289248,"(0.1, 7, 2500, 1)",0.26029267592862443,40.94521192097454
46,0.4520791686670863,"(0.1, 7, 3000, 0)",0.29571340116908124,46.14145427200128
47,0.3712731080953248,"(0.1, 7, 3000, 1)",0.20690340342658334,48.40025402700121
48,0.4594220192813586,"(0.1, 8, 500, 0)",0.22493397903444884,7.775302847032435
49,0.39988539472622797,"(0.1, 8, 500, 1)",0.14998876085035945,8.277182880003238
50,0.4120078068206091,"(0.1, 8, 1000, 0)",0.23161255885516574,15.630681510985596
51,0.3963212311376319,"(0.1, 8, 1000, 1)",0.1945077352279387,16.560156840001582
52,0.44061946577957745,"(0.1, 8, 1500, 0)",0.23035215204128962,23.297084969002753
53,0.38717721726065457,"(0.1, 8, 1500, 1)",0.19236656033376953,24.49563099599618
54,0.45155089381481045,"(0.1, 8, 2000, 0)",0.2771024968717968,30.714444375029416
55,0.4364477037845518,"(0.1, 8, 2000, 1)",0.2783295166650284,32.07637035798689
56,0.4827425992251805,"(0.1, 8, 2500, 0)",0.36632405200626983,38.80190587400284
57,0.4738658723666725,"(0.1, 8, 2500, 1)",0.34833018902456975,40.26987928703602
58,0.461085846497456,"(0.1, 8, 3000, 0)",0.33415585300092776,46.682153943984304
59,0.42568790043096555,"(0.1, 8, 3000, 1)",0.16688151877193125,47.79318793397397
60,0.44552808605578864,"(0.1, 9, 500, 0)",0.3419486460139117,7.808616143971449
61,0.38422287376077574,"(0.1, 9, 500, 1)",0.12995671712545717,8.185388152007363
62,0.4139073316281617,"(0.1, 9, 1000, 0)",0.2675763796163652,15.273486347985454
63,0.4242291589401191,"(0.1, 9, 1000, 1)",0.2704733261070556,16.34099698200589
64,0.412743494854025,"(0.1, 9, 1500, 0)",0.30689300023356486,23.01236675599648
65,0.4391369807592465,"(0.1, 9, 1500, 1)",0.1809135263258162,24.509633046982344
66,0.45760199694715664,"(0.1, 9, 2000, 0)",0.22595417970941825,30.86224541903357
67,0.39511562001721046,"(0.1, 9, 2000, 1)",0.22619634371802488,32.48067670300952
68,0.47865773660613986,"(0.1, 9, 2500, 0)",0.3264251659628771,38.633835403990815
69,0.4617315827262213,"(0.1, 9, 2500, 1)",0.24174015396353213,40.438009047007654
70,0.4364667763248245,"(0.1, 9, 3000, 0)",0.27882687690631774,46.891402484994614
