,0,1,2,3,4,5,6,7
Approach,occl_2_0_0,noise_3_1,sarfa_2_0,rise_0.5_8_1000_0,Lime_felzenswalb_21_0.5_4_1000,Lime_quickshift_1_2_0.0_1500,Lime_slic_200_10_0.25_2000,rnd_baseline
random_insertion_qvals,0.54$\pm$1.3,0.75$\pm$0.7,0.76$\pm$1.2,1.1$\pm$2.0,0.46$\pm$0.7,0.67$\pm$1.1,0.62$\pm$1.1,0.85$\pm$1.5
random_insertion_advantage,-0.52$\pm$1.2,-0.03$\pm$0.8,-0.74$\pm$1.3,-0.01$\pm$1.1,-0.43$\pm$1.2,-0.44$\pm$1.0,-0.36$\pm$1.1,-0.22$\pm$1.0
black_insertion_qvals,3.08$\pm$3.2,0.66$\pm$0.8,0.83$\pm$1.8,1.01$\pm$1.8,2.83$\pm$5.3,2.49$\pm$4.7,2.47$\pm$4.4,0.53$\pm$0.8
black_insertion_advantage,1.23$\pm$1.6,0.15$\pm$0.3,1.7$\pm$0.8,0.21$\pm$0.4,0.64$\pm$0.7,0.94$\pm$0.5,0.67$\pm$0.5,0.06$\pm$0.3
