,aucs,params,time
0,2.2169081289102053,"(0.1, 4, 500, 0)",9.158569315373882
1,1.899491048472769,"(0.1, 4, 500, 1)",7.118063608642997
2,2.356323039005784,"(0.1, 4, 1000, 0)",13.726226377933507
3,2.084857531856088,"(0.1, 4, 1000, 1)",14.39080078613344
4,2.158519254274228,"(0.1, 4, 1500, 0)",20.73781276670637
5,2.0220076267333593,"(0.1, 4, 1500, 1)",21.25881334080171
6,2.2184572398662565,"(0.1, 4, 2000, 0)",27.32277063146293
7,2.0557626841699372,"(0.1, 4, 2000, 1)",28.601677028784422
8,2.2642680359237333,"(0.1, 4, 2500, 0)",34.294417027862494
9,1.9401979591916592,"(0.1, 4, 2500, 1)",36.13191006119496
10,2.2112887794480605,"(0.1, 4, 3000, 0)",41.99149612590429
11,1.8986522734165192,"(0.1, 4, 3000, 1)",43.59434034213842
12,2.021861877511529,"(0.1, 5, 500, 0)",6.879941724437003
13,2.1980990925255943,"(0.1, 5, 500, 1)",7.097368799665787
14,2.0185757940306384,"(0.1, 5, 1000, 0)",13.628337121058678
15,2.055384181001607,"(0.1, 5, 1000, 1)",14.129371749761447
16,2.053311765456901,"(0.1, 5, 1500, 0)",20.479776619654103
17,1.8405062730698027,"(0.1, 5, 1500, 1)",21.270500301015943
18,1.8642422401729752,"(0.1, 5, 2000, 0)",28.167690586373453
19,2.0956326081472283,"(0.1, 5, 2000, 1)",29.19705828534063
20,2.22347199092893,"(0.1, 5, 2500, 0)",34.04401313574766
21,2.156238655307714,"(0.1, 5, 2500, 1)",34.77171819323405
22,2.083624086309882,"(0.1, 5, 3000, 0)",40.3194436723104
23,1.756473869698889,"(0.1, 5, 3000, 1)",42.215206401930914
24,1.7234359387965763,"(0.1, 6, 500, 0)",6.913120522301028
25,2.07978518149432,"(0.1, 6, 500, 1)",7.041211103645878
26,2.093139672805281,"(0.1, 6, 1000, 0)",13.520033132702451
27,1.9142823606291237,"(0.1, 6, 1000, 1)",14.015626567063805
28,1.9950421182548297,"(0.1, 6, 1500, 0)",20.088750665238194
29,1.8647304966169245,"(0.1, 6, 1500, 1)",21.057125975508143
30,2.212943811626995,"(0.1, 6, 2000, 0)",27.158979423362553
31,1.6290740655625569,"(0.1, 6, 2000, 1)",28.174203425295786
32,1.906225387752056,"(0.1, 6, 2500, 0)",33.605794032481526
33,1.8683732988203272,"(0.1, 6, 2500, 1)",35.11217319519653
34,1.852605216994005,"(0.1, 6, 3000, 0)",40.871061824896856
35,1.800353930101675,"(0.1, 6, 3000, 1)",41.793205840407154
36,1.7656378966920516,"(0.1, 7, 500, 0)",6.80604462298993
37,2.391285219876205,"(0.1, 7, 500, 1)",6.936057515689868
38,2.014673027220894,"(0.1, 7, 1000, 0)",13.549115320522333
39,1.9067760038025239,"(0.1, 7, 1000, 1)",13.966975691044581
40,1.7924053796512238,"(0.1, 7, 1500, 0)",20.123410656941132
41,1.90423805520815,"(0.1, 7, 1500, 1)",20.78272406129838
42,2.1134754606906108,"(0.1, 7, 2000, 0)",26.786248531587148
43,1.7039453376741969,"(0.1, 7, 2000, 1)",27.66520605272467
44,2.070518307212521,"(0.1, 7, 2500, 0)",33.2018988446855
45,2.1219972372055054,"(0.1, 7, 2500, 1)",34.560093531440316
46,2.1495563091600642,"(0.1, 7, 3000, 0)",40.05478321965484
47,2.194337666385314,"(0.1, 7, 3000, 1)",41.28736724918963
48,2.1846824230516657,"(0.1, 8, 500, 0)",6.689318614516651
49,1.913469436940025,"(0.1, 8, 500, 1)",6.9174685609486914
50,1.9981643080711364,"(0.1, 8, 1000, 0)",13.388425623927105
51,1.6907590117524651,"(0.1, 8, 1000, 1)",13.84587733915896
52,1.8139705179368748,"(0.1, 8, 1500, 0)",19.885003820317934
53,1.8263772456084981,"(0.1, 8, 1500, 1)",20.669073304009316
54,2.300326682714855,"(0.1, 8, 2000, 0)",26.43527990289249
55,1.5319726370713291,"(0.1, 8, 2000, 1)",27.547608425092903
56,1.8801487277535833,"(0.1, 8, 2500, 0)",33.68299937561915
57,1.9299369878628674,"(0.1, 8, 2500, 1)",34.6223087012454
58,1.9270256000406603,"(0.1, 8, 3000, 0)",40.44929732689502
59,1.672005428724429,"(0.1, 8, 3000, 1)",41.61942369770463
60,1.6266475041999535,"(0.1, 9, 500, 0)",6.775358041315258
61,1.980383295171401,"(0.1, 9, 500, 1)",6.962640223827293
62,2.0301093632684037,"(0.1, 9, 1000, 0)",13.447274164733017
63,1.8460490805261276,"(0.1, 9, 1000, 1)",13.937645706367675
64,1.4686510895981508,"(0.1, 9, 1500, 0)",20.250136539699724
65,1.8724245497409036,"(0.1, 9, 1500, 1)",20.981608277029636
66,1.5857483081081334,"(0.1, 9, 2000, 0)",26.877278257431954
67,2.0322936820633273,"(0.1, 9, 2000, 1)",27.959081670994465
68,2.149132591047708,"(0.1, 9, 2500, 0)",33.84963675550921
69,2.126575240492821,"(0.1, 9, 2500, 1)",34.77082673915265
70,2.0311816057738135,"(0.1, 9, 3000, 0)",40.37877188301877
71,1.6256520520238313,"(0.1, 9, 3000, 1)",41.851583371629886
72,2.1307593137025833,"(0.1, 10, 500, 0)",6.746721440853662
73,2.2021827453199556,"(0.1, 10, 500, 1)",7.077466828884326
74,1.9267569992472142,"(0.1, 10, 1000, 0)",13.666745354507384
75,2.2448339919833575,"(0.1, 10, 1000, 1)",13.996280812226132
76,1.93225753802587,"(0.1, 10, 1500, 0)",20.153023079748664
77,2.1013598524472292,"(0.1, 10, 1500, 1)",20.805476114981047
78,1.7148831947761423,"(0.1, 10, 2000, 0)",26.88965580820991
79,1.9966741023694765,"(0.1, 10, 2000, 1)",27.496567580516057
80,1.6321654769427636,"(0.1, 10, 2500, 0)",33.43664348401785
81,1.6434011286672423,"(0.1, 10, 2500, 1)",34.34593167567391
82,1.6576242500368288,"(0.1, 10, 3000, 0)",39.88335919788642
83,1.7679438228116318,"(0.1, 10, 3000, 1)",41.075533342925155
84,1.4650605530423277,"(0.1, 11, 500, 0)",6.71000951238284
85,1.8512263775748365,"(0.1, 11, 500, 1)",6.87839795281252
86,1.919263768020798,"(0.1, 11, 1000, 0)",13.276852784361836
87,2.1007005644195225,"(0.1, 11, 1000, 1)",13.825373615920853
88,1.7312989790649975,"(0.1, 11, 1500, 0)",19.64718532662664
89,2.025651231583427,"(0.1, 11, 1500, 1)",20.34515615811506
90,1.4829337306758936,"(0.1, 11, 2000, 0)",26.181955248502618
91,2.0051820420167026,"(0.1, 11, 2000, 1)",27.136414544306263
92,1.5992161333560944,"(0.1, 11, 2500, 0)",32.64152064019254
93,2.218879619941992,"(0.1, 11, 2500, 1)",34.1182736912092
94,1.8970835455200254,"(0.1, 11, 3000, 0)",39.787108696775704
95,2.010642662995002,"(0.1, 11, 3000, 1)",41.0695311834329
96,2.1461395968409147,"(0.1, 12, 500, 0)",6.6452216692346155
97,2.110091043044539,"(0.1, 12, 500, 1)",6.869538726291012
98,1.7484822515179128,"(0.1, 12, 1000, 0)",13.153493809967586
99,1.7884844411821925,"(0.1, 12, 1000, 1)",13.597336253629692
100,1.6197459638995284,"(0.1, 12, 1500, 0)",19.66730408473768
101,1.8249155426726622,"(0.1, 12, 1500, 1)",20.550901581066682
102,1.994263543889803,"(0.1, 12, 2000, 0)",26.348059041023134
103,1.815736990641145,"(0.1, 12, 2000, 1)",27.28020656256649
104,1.9413716611616751,"(0.1, 12, 2500, 0)",33.22428073959145
105,1.6629379133967794,"(0.1, 12, 2500, 1)",33.68915825893964
106,1.6226017752114463,"(0.1, 12, 3000, 0)",39.551762025620974
107,1.5780063397744122,"(0.1, 12, 3000, 1)",40.2870132935891
108,1.7779094925698113,"(0.1, 13, 500, 0)",6.595505015302479
109,2.0182181647595234,"(0.1, 13, 500, 1)",6.822508167937485
110,1.8399718634345952,"(0.1, 13, 1000, 0)",13.14222701488643
111,1.7172600406057694,"(0.1, 13, 1000, 1)",13.539678646307493
112,1.9777422601685806,"(0.1, 13, 1500, 0)",19.980277940352607
113,1.9948909225709297,"(0.1, 13, 1500, 1)",20.09023046225093
114,1.6416957370498602,"(0.1, 13, 2000, 0)",25.884930347292993
115,1.732696037783342,"(0.1, 13, 2000, 1)",26.644387485001516
116,1.597232738882303,"(0.1, 13, 2500, 0)",32.383815261436666
117,1.9806064856403014,"(0.1, 13, 2500, 1)",33.502071352643725
118,1.80134482743109,"(0.1, 13, 3000, 0)",38.97159974242504
119,1.6502854506759081,"(0.1, 13, 3000, 1)",40.10071782866271
120,1.681128890724743,"(0.1, 14, 500, 0)",6.418144484844106
121,2.663313851286383,"(0.1, 14, 500, 1)",6.640939560754305
122,1.8332203530213411,"(0.1, 14, 1000, 0)",12.792423618086104
123,2.5342426889082965,"(0.1, 14, 1000, 1)",13.14511257715776
124,1.614598361446577,"(0.1, 14, 1500, 0)",19.380960988059087
125,1.57287638064693,"(0.1, 14, 1500, 1)",20.068589443630117
126,1.5619011877214208,"(0.1, 14, 2000, 0)",25.998101993409364
127,1.954636141833137,"(0.1, 14, 2000, 1)",26.749401390399726
128,1.8210481976761537,"(0.1, 14, 2500, 0)",32.60054280641771
129,1.5285350799560546,"(0.1, 14, 2500, 1)",33.392397078400336
130,1.7666170114103485,"(0.1, 14, 3000, 0)",38.98831946518294
131,2.088875345622792,"(0.1, 14, 3000, 1)",40.24503058349637
132,2.012474482375033,"(0.1, 15, 500, 0)",6.6161749607845195
133,1.7055023424765645,"(0.1, 15, 500, 1)",6.864691182818206
134,1.7243312308016945,"(0.1, 15, 1000, 0)",13.173012771176673
135,1.5937900570385595,"(0.1, 15, 1000, 1)",13.52295892355096
136,1.6975837996777368,"(0.1, 15, 1500, 0)",19.536482988759417
137,2.035238755625837,"(0.1, 15, 1500, 1)",20.18716931900599
138,1.8613961391589222,"(0.1, 15, 2000, 0)",26.19130504016539
139,1.6391119632650824,"(0.1, 15, 2000, 1)",27.20872289634599
140,1.6353293769499835,"(0.1, 15, 2500, 0)",32.82543731116675
141,1.7247175286797916,"(0.1, 15, 2500, 1)",34.182566778738874
142,1.8401062570950566,"(0.1, 15, 3000, 0)",39.79161513544341
143,1.485220723117099,"(0.1, 15, 3000, 1)",40.89578228517939
144,1.4699935013318763,"(0.1, 16, 500, 0)",6.658847423345378
145,1.8274474048439195,"(0.1, 16, 500, 1)",6.909847759981403
146,1.9112705660216949,"(0.1, 16, 1000, 0)",13.164475931997913
147,1.8307419882101172,"(0.1, 16, 1000, 1)",14.11607117664471
148,1.6502694543670207,"(0.1, 16, 1500, 0)",19.84764013303311
149,2.210289547723882,"(0.1, 16, 1500, 1)",20.581563019880377
150,2.141128128591706,"(0.1, 16, 2000, 0)",26.460669442625203
