,aucs,params,Standard deviation,time
0,0.22872162779689456,"(1, 0.0, 0, 1000)",0.12990438783159683,30.148465249018045
1,0.20994834054294106,"(1, 0.0, 0, 1500)",0.0762775653139217,45.48383668300812
2,0.18733861140721728,"(1, 0.0, 0, 2000)",0.08107973494852862,59.15793052295339
3,0.23199836173644423,"(1, 0.0, 0, 2500)",0.15157913504907763,73.57621306099463
4,0.2255906925471355,"(1, 0.0, 0, 3000)",0.11639466032571476,87.27748608504771
5,0.23952823252563885,"(1, 0.0, 1, 1000)",0.12594355768093934,29.750880158971995
6,0.1999493556141836,"(1, 0.0, 1, 1500)",0.07557276784395257,44.306927259021904
7,0.20045116969977758,"(1, 0.0, 1, 2000)",0.08414079731713087,58.639483758975985
8,0.22868391798394966,"(1, 0.0, 1, 2500)",0.1258056442620675,73.73486036102986
9,0.1699916767524145,"(1, 0.0, 1, 3000)",0.037094589595752264,89.3454410660197
10,0.2268925093399159,"(1, 0.0, 2, 1000)",0.09678166490524527,15.95219751104014
11,0.25703854446400204,"(1, 0.0, 2, 1500)",0.15314781341404332,23.86909543198999
12,0.23099165741923774,"(1, 0.0, 2, 2000)",0.1114007124406847,30.885586257034447
13,0.20760136290149886,"(1, 0.0, 2, 2500)",0.0767870133139943,38.59721739497036
14,0.2510071451609034,"(1, 0.0, 2, 3000)",0.1741495563229211,46.34500896005193
15,0.6376825234111831,"(1, 0.0, 3, 1000)",0.22567297545363388,11.65209802199388
16,0.5906707772935232,"(1, 0.0, 3, 1500)",0.20707145504551186,17.6089439499774
17,0.5673180584799462,"(1, 0.0, 3, 2000)",0.16624863115470404,23.015431470965268
18,0.5863957856853705,"(1, 0.0, 3, 2500)",0.21132920096094385,28.78073104005307
19,0.5788252662329754,"(1, 0.0, 3, 3000)",0.18897277118648567,34.3243347350508
20,0.6216231717108224,"(1, 0.0, 4, 1000)",0.28124275044056535,10.185234327975195
21,0.5650431097010957,"(1, 0.0, 4, 1500)",0.19169931390407866,15.260128998983419
22,0.5958951883123136,"(1, 0.0, 4, 2000)",0.2220028198612913,20.03614020504756
23,0.5718498304198907,"(1, 0.0, 4, 2500)",0.20364959589265083,25.01027909995173
24,0.5305754679172348,"(1, 0.0, 4, 3000)",0.13870139023004077,29.860854714002926
25,0.5321935226328448,"(1, 0.0, 5, 1000)",0.16237892618585453,9.002233178005554
26,0.5512332368046045,"(1, 0.0, 5, 1500)",0.1701387826383119,13.430885047011543
27,0.5419441542487474,"(1, 0.0, 5, 2000)",0.1814740449208442,17.777740321995225
28,0.5274557688847655,"(1, 0.0, 5, 2500)",0.1299946204934242,22.002851946017472
29,0.5591725253881132,"(1, 0.0, 5, 3000)",0.206656125736554,26.467336166999303
30,0.6006992641861537,"(1, 0.0, 6, 1000)",0.2648634271022229,8.486498976970324
31,0.6160924658602192,"(1, 0.0, 6, 1500)",0.2682790754383167,12.693558945029508
32,0.5860005269996188,"(1, 0.0, 6, 2000)",0.24270777698720522,16.71134557496407
33,0.610438181911438,"(1, 0.0, 6, 2500)",0.28988216347387197,21.187938710965682
34,0.6136629229131736,"(1, 0.0, 6, 3000)",0.2903422892832007,25.195238568005152
35,0.5888334106637683,"(1, 0.0, 7, 1000)",0.22529880942322913,8.543746587063652
36,0.5786189968158315,"(1, 0.0, 7, 1500)",0.2396058778328624,12.473215422040084
37,0.5867223568793783,"(1, 0.0, 7, 2000)",0.25432948525096477,16.48830919401371
38,0.6155912051145431,"(1, 0.0, 7, 2500)",0.29543858951668517,20.53546592697967
39,0.6076409856599276,"(1, 0.0, 7, 3000)",0.31744198714015087,24.31426225899486
40,0.5464238716043166,"(1, 0.0, 8, 1000)",0.15234439586847578,8.362993964983616
41,0.5671791363567371,"(1, 0.0, 8, 1500)",0.1926635968748553,12.276200821972452
42,0.5484852752455741,"(1, 0.0, 8, 2000)",0.2004410758013595,16.194624685973395
43,0.5790109109616457,"(1, 0.0, 8, 2500)",0.19833575649807492,19.6133949009527
44,0.6081177497444994,"(1, 0.0, 8, 3000)",0.24444249867459064,23.837894037977094
45,0.14650371500905474,"(1, 0.25, 0, 1000)",0.042617486323703525,32.675725072971545
46,0.15072767459629433,"(1, 0.25, 0, 1500)",0.06197241557779719,47.37370284003555
47,0.14718735287000645,"(1, 0.25, 0, 2000)",0.05729975632595556,62.763345691986615
