,aucs,params,Standard deviation,time
0,0.13931729125548392,"(1, 0.0, 0)",0.06740258106082388,110.2309331079997
1,0.39600226925250026,"(1, 0.0, 1)",0.40783436496537057,115.71725329899982
2,2.2648804555115394,"(1, 0.5, 0)",1.5573609500211252,110.33293249600001
3,1.0077205194910728,"(1, 0.5, 1)",0.6407958647696882,116.57992130699995
4,0.28142927881054464,"(2, 0.0, 0)",0.08568562437050228,28.255538315999956
5,0.3295200033797282,"(2, 0.0, 1)",0.11332053706462403,28.9357806779999
6,1.1647092909373689,"(2, 0.5, 0)",0.7488806240237251,28.22815042499974
7,0.6888922534407496,"(2, 0.5, 1)",0.3887417795203229,28.948841399999992
8,0.3523771532944894,"(3, 0.0, 0)",0.12747277536648713,12.629364613999996
9,0.37615617825123626,"(3, 0.0, 1)",0.17730327286674955,12.882401800000252
10,0.9025020471386531,"(3, 0.5, 0)",0.5563082600691092,12.244151107000107
11,0.610991600247184,"(3, 0.5, 1)",0.37986508171962524,12.53812165999966
12,0.3630480080413082,"(4, 0.0, 0)",0.13337261235599412,6.844078067999362
13,0.40521115692958104,"(4, 0.0, 1)",0.19418986064243948,7.2328174140002375
14,0.883909622908466,"(4, 0.5, 0)",0.5199566452098996,7.090249895999932
15,0.6571104335555038,"(4, 0.5, 1)",0.40772283299603285,7.385764585999823
16,0.4632994003495134,"(5, 0.0, 0)",0.2516547024133678,4.418183875000068
17,0.4456521391992472,"(5, 0.0, 1)",0.21183843803895694,4.521415186000013
18,0.8060083348645316,"(5, 0.5, 0)",0.42169051719650524,4.390819254000007
19,0.5659827862765171,"(5, 0.5, 1)",0.2685853410631881,4.6150212439999905
20,0.49240630629326015,"(6, 0.0, 0)",0.3052862191448212,2.961787473000186
21,0.4167075786054008,"(6, 0.0, 1)",0.152415325258697,2.9706663539996043
22,0.7909396908590024,"(6, 0.5, 0)",0.4711718942493729,2.883500774999675
23,0.6302243404290382,"(6, 0.5, 1)",0.3639477083191684,2.925795306000282
24,0.5356714174566265,"(7, 0.0, 0)",0.30660546206413486,2.1637752439996802
25,0.4281719095600323,"(7, 0.0, 1)",0.13888615973157264,2.192713279000145
26,0.8355390787908705,"(7, 0.5, 0)",0.4694344433121703,2.1537878699996327
27,0.5959827174286996,"(7, 0.5, 1)",0.274391336003734,2.300460423999766
28,0.5271566984983219,"(8, 0.0, 0)",0.2779127292837117,1.8679095079999115
29,0.4181092206570544,"(8, 0.0, 1)",0.12861139282570802,1.9152076290001787
30,0.7672736133621207,"(8, 0.5, 0)",0.38878425794237664,1.8134556479999446
31,0.6142849828589643,"(8, 0.5, 1)",0.32151271679709276,1.9327943760001745
32,0.5345590817192594,"(9, 0.0, 0)",0.2888779058145133,1.5487576350003565
33,0.4163146916012358,"(9, 0.0, 1)",0.09611168984452378,1.6007685129998208
34,0.6892145390361052,"(9, 0.5, 0)",0.3670109070843116,1.5657152810001662
35,0.5265022911161854,"(9, 0.5, 1)",0.18565791880853486,1.5972432250000566
36,0.48975418515013924,"(10, 0.0, 0)",0.29220025502462477,1.2276538120001987
37,0.42419761680843376,"(10, 0.0, 1)",0.17837524079763206,1.2851901230003477
38,0.6733209995691778,"(10, 0.5, 0)",0.3470292104416708,1.265406048999921
39,0.5755762996593666,"(10, 0.5, 1)",0.3149511274738104,1.3273910160000923
