,Unnamed: 0,aucs,params,time
0,0,3.096176432336078,"(1, 1, 0.0, 1000)",30.636976487235106
1,1,3.2139375839163273,"(1, 1, 0.0, 1500)",42.42302555213023
2,2,3.4483407089596283,"(1, 1, 0.0, 2000)",54.653081048010314
3,3,3.5884621253346696,"(1, 1, 0.0, 2500)",68.46398131606111
4,4,3.7221087334348875,"(1, 1, 0.0, 3000)",81.43683401102655
5,5,2.7965027671088185,"(1, 1, 0.33, 1000)",30.75213246376291
6,6,2.6876616722958926,"(1, 1, 0.33, 1500)",46.56021142351892
7,7,2.9138383027398964,"(1, 1, 0.33, 2000)",62.086134410937746
8,8,3.130598212296472,"(1, 1, 0.33, 2500)",76.80959535359938
9,9,3.072025761413662,"(1, 1, 0.33, 3000)",91.69505956762646
10,10,2.6842803056625764,"(1, 1, 0.66, 1000)",30.65506621651616
11,11,2.7106751339181385,"(1, 1, 0.66, 1500)",46.23375792174693
12,12,2.8898291923763124,"(1, 1, 0.66, 2000)",60.905380991159525
13,13,3.107668922052664,"(1, 1, 0.66, 2500)",76.69941459040193
14,14,3.26203674493248,"(1, 1, 0.66, 3000)",92.48156148337284
15,15,2.5964875910650282,"(1, 1, 0.99, 1000)",30.836580626867317
16,16,2.764955865591764,"(1, 1, 0.99, 1500)",46.63275779463596
17,17,2.937714056854876,"(1, 1, 0.99, 2000)",61.71486208442684
18,18,3.068472751449136,"(1, 1, 0.99, 2500)",76.98445193453405
19,19,3.217582890610484,"(1, 1, 0.99, 3000)",92.55484370220232
20,20,3.318184227671693,"(1, 2, 0.0, 1000)",13.786292671275305
21,21,3.3612728847738573,"(1, 2, 0.0, 1500)",20.596331936042134
22,22,3.3657133890863724,"(1, 2, 0.0, 2000)",27.34760004413988
23,23,3.5016151879640187,"(1, 2, 0.0, 2500)",34.127732435267944
24,24,3.3861577959621654,"(1, 2, 0.0, 3000)",41.211452572882756
25,25,2.8659799669595323,"(1, 2, 0.33, 1000)",8.641146570304272
26,26,2.9421059261788343,"(1, 2, 0.33, 1500)",13.024652853924179
27,27,2.829544466821586,"(1, 2, 0.33, 2000)",17.25423147355309
28,28,2.9331576785620523,"(1, 2, 0.33, 2500)",21.280270537177106
29,29,2.9275624898426678,"(1, 2, 0.33, 3000)",25.51936070087117
30,30,2.779025230688207,"(1, 2, 0.66, 1000)",8.433014251811526
31,31,2.8070229075410786,"(1, 2, 0.66, 1500)",12.500639606430695
32,32,2.801602412804085,"(1, 2, 0.66, 2000)",16.611783061813412
33,33,2.8469989688957438,"(1, 2, 0.66, 2500)",20.595991948697247
34,34,2.777143432506744,"(1, 2, 0.66, 3000)",24.80399603860269
35,35,2.755808122499901,"(1, 2, 0.99, 1000)",8.554729162505055
36,36,2.8357284698416203,"(1, 2, 0.99, 1500)",12.765648706749287
37,37,2.8193214455071622,"(1, 2, 0.99, 2000)",17.67826218136679
38,38,2.8120691293740974,"(1, 2, 0.99, 2500)",21.20253551778228
39,39,2.939827955075923,"(1, 2, 0.99, 3000)",25.254663930751125
40,40,3.2211627194548353,"(1, 3, 0.0, 1000)",9.073014028319447
41,41,3.1508357256650923,"(1, 3, 0.0, 1500)",13.595601954997166
42,42,3.159921420935322,"(1, 3, 0.0, 2000)",17.934778582194213
43,43,3.129319721854785,"(1, 3, 0.0, 2500)",22.577489597141717
44,44,3.127092253153815,"(1, 3, 0.0, 3000)",27.34340286265433
45,45,2.864885127632057,"(1, 3, 0.33, 1000)",7.695668583576663
46,46,2.838651896531091,"(1, 3, 0.33, 1500)",11.446478812251373
47,47,2.8003428488969804,"(1, 3, 0.33, 2000)",15.227907736877114
48,48,2.8629027257509088,"(1, 3, 0.33, 2500)",19.074987463490515
49,49,2.850781148759758,"(1, 3, 0.33, 3000)",22.868462053137822
50,50,2.8116309797939136,"(1, 3, 0.66, 1000)",7.856905277067199
51,51,2.757216816329781,"(1, 3, 0.66, 1500)",11.554509581524824
52,52,2.797313014899983,"(1, 3, 0.66, 2000)",15.306086946804953
53,53,2.8894451144425313,"(1, 3, 0.66, 2500)",19.067168592656568
54,54,2.887774384635336,"(1, 3, 0.66, 3000)",23.067499640317692
55,55,2.821221579435994,"(1, 3, 0.99, 1000)",7.758664858243037
56,56,2.7808235889848545,"(1, 3, 0.99, 1500)",11.83857138267581
57,57,2.7957489785464373,"(1, 3, 0.99, 2000)",15.427038911369893
58,58,2.779101355549167,"(1, 3, 0.99, 2500)",19.1200278247652
59,59,2.7670550204813487,"(1, 3, 0.99, 3000)",23.168490129331985
60,60,2.8527612971032363,"(1, 4, 0.0, 1000)",7.7608687696345
61,61,2.88009300771005,"(1, 4, 0.0, 1500)",11.446700348787544
62,62,2.867159925313557,"(1, 4, 0.0, 2000)",15.263463931868275
63,63,2.814634536294376,"(1, 4, 0.0, 2500)",19.146512475747613
64,64,2.9565593158716665,"(1, 4, 0.0, 3000)",23.102940736881237
65,65,2.944908717712935,"(1, 4, 0.33, 1000)",7.591891986272002
66,66,2.840615744406686,"(1, 4, 0.33, 1500)",11.232953629581061
67,67,2.924746714225587,"(1, 4, 0.33, 2000)",14.967420999037133
68,68,2.9153669853859085,"(1, 4, 0.33, 2500)",18.874063323690734
69,69,2.9186250116018684,"(1, 4, 0.33, 3000)",22.33325855660314
70,70,2.86543103789582,"(1, 4, 0.66, 1000)",7.552417416179651
71,71,2.8479053831714043,"(1, 4, 0.66, 1500)",11.346841009122727
72,72,2.886390329108519,"(1, 4, 0.66, 2000)",14.660352642584254
73,73,2.8972817828769193,"(1, 4, 0.66, 2500)",18.58230752791269
